201303	1989.97	17469	 3.50 	34.3	8.2	2.75	0.13	0.27	1111
201304	1949.225	13180	 3.20 	34.3	-1.6	2.75	0.13	0.27	1101
201305	1974.43	25690	 3.00 	34.3	-11	2.5	0.13	0.27	1129.7
201306	1885.545	20225	 3.10 	34.3	-14.9	2.5	0.13	0.27	1142
201307	1865.16	17091	 3.10 	34.3	1.1	2.5	0.13	0.27	1123.5
201308	1888.9	18210	 3.00 	34.3	18.2	2.5	0.13	0.27	1110
201309	1969.515	19959	 2.70 	34.3	-6.5	2.5	0.13	0.27	1074.7
201310	2022.245	27095	 2.70 	34.3	-2	2.5	0.13	0.27	1060.7
201311	2007.06	17259	 2.60 	34.3	0	2.5	0.13	0.27	1058.2
201312	2000.16	16824	 3.00 	34.3	-7.6	2.5	0.13	0.27	1055.4
201401	1956.825	4554	 3.40 	35.9	-3	2.5	0.13	0.23	1070.4
201402	1933.34	10782	 4.50 	35.9	3.5	2.5	0.13	0.23	1067.5
201403	1951.72	16134	 3.90 	35.9	-2.6	2.5	0.13	0.23	1064.7
201404	1984.12	18456	 3.80 	35.9	2.6	2.5	0.13	0.23	1033.2
201405	1978.655	23344	 3.50 	35.9	-4.3	2.5	0.13	0.23	1020.1
201406	1990.95	21132	 3.50 	35.9	-2.6	2.5	0.13	0.23	1011.8
201407	2039.305	14534	 3.40 	35.9	-6.3	2.5	0.13	0.23	1027.9
201408	2057.71	17251	 3.30 	35.9	11.2	2.25	0.13	0.23	1014
201409	2039.945	18465	 3.10 	35.9	-1.3	2.25	0.13	0.23	1055.2
201410	1955.005	25017	 3.20 	35.9	-1.1	2	0.13	0.23	1068.5
201411	1958.935	26773	 3.00 	35.9	-0.8	2	0.13	0.23	1107.9
201412	1935.885	19459	 3.30 	35.9	-4.2	2	0.13	0.23	1099.3
201501	1920.2	19894	 3.70 	37.8	-13	2	0.07	0.25	1093.5
201502	1963.09	20086	 4.50 	37.8	-1.7	2	0.07	0.25	1098.4
201503	2008.13	28098	 4.00 	37.8	-7.3	1.75	0.07	0.25	1109.5
201504	2107.09	22872	 3.90 	37.8	-8.7	1.75	0.07	0.25	1072.4
201505	2108.345	22560	 3.70 	37.8	-1.6	1.75	0.07	0.25	1108.2
201506	2059.67	33079	 3.80 	37.8	-15.3	1.5	0.07	0.25	1115.5
201507	2047.295	25700	 3.60 	37.8	-29.9	1.5	0.07	0.25	1170
201508	1919.58	20752	 3.40 	37.8	1.5	1.5	0.07	0.25	1182.5
201509	1932.475	30318	 3.20 	37.8	2.2	1.5	0.07	0.25	1185.3
201510	2011.675	25741	 3.10 	37.8	-5.4	1.5	0.07	0.25	1140.1
201511	1999.485	29919	 3.00 	37.8	18.8	1.5	0.07	0.25	1158.1
201512	1972.775	23123	 3.20 	37.8	0.2	1.5	0.07	0.25	1172.5
201601	1892.29	19554	 3.70 	38.3	-2.6	1.5	0.1	0.19	1199.1
201602	1873.75	22965	 4.90 	38.3	-2.3	1.5	0.1	0.19	1236.7
201603	1972.325	32496	 4.20 	38.3	-3.2	1.5	0.1	0.19	1143.5
201604	1988.94	17371	 3.90 	38.3	-5	1.5	0.1	0.19	1139.3
201605	1964.755	28021	 3.60 	38.3	1	1.5	0.1	0.19	1191.7
201606	1964.01	35909	 3.60 	38.3	-3	1.25	0.1	0.19	1151.8
201607	1987.51	25255	 3.50 	38.3	5.8	1.25	0.1	0.19	1120.2
201608	2028.045	16443	 3.60 	38.3	17.2	1.25	0.1	0.19	1114.8
201609	2032.68	23238	 3.50 	38.3	-9.1	1.25	0.1	0.19	1101.3
201610	2036.36	22347	 3.30 	38.3	-6.3	1.25	0.1	0.19	1144.5
201611	1973.15	24254	 3.10 	38.3	-35	1.25	0.1	0.19	1169.1
201612	2007.055	20698	 3.20 	38.3	-3.7	1.25	0.1	0.19	1207.7
201701	2053.35	13212	 3.70 	38.2	40.1	1.25	0.19	0.16	1162.1
201702	2080.64	23327	 4.90 	38.2	-2	1.25	0.19	0.16	1130.7
201703	2125.05	17501	 4.10 	38.2	-1.7	1.25	0.19	0.16	1118.4
201704	2167.43	20224	 4.20 	38.2	-26.2	1.25	0.19	0.16	1137.9
201705	2292.27	17322	 3.60 	38.2	-2	1.25	0.19	0.16	1119.5
201706	2369.215	24600	 3.80 	38.2	-32.1	1.25	0.19	0.16	1144.1
201707	2413	24723	 3.40 	38.2	15.3	1.25	0.19	0.16	1119
201708	2372.335	18621	 3.60 	38.2	-21.8	1.25	0.19	0.16	1127.8
201709	2371.715	37994	 3.30 	38.2	-1.2	1.25	0.19	0.16	1145.4
201710	2474.71	18366	 3.20 	38.2	-7.4	1.25	0.19	0.16	1120.4
201711	2517.955	22550	 3.10 	38.2	38.8	1.5	0.19	0.16	1088.2
201712	2463.045	13695	 3.30 	38.2	-31.1	1.5	0.19	0.16	1070.5
