date,경상수지,경상수지,상품수지,서비스수지,본원소득수지,이전소득수지,무역수지
201203월,8274,"2,999","3,012",729,-212,-530,"2,276"
201204월,7326,"2,594","2,024","1,079",-326,-183,"2,138"
201205월,10908,"4,258","2,208","1,654",487,-91,"2,392"
201206월,18342,"6,586","5,609",269,953,-244,"5,169"
201207월,16474,"6,892","5,415","1,222",460,-206,"2,691"
201208월,6972,"2,521","1,984",214,502,-179,"1,930"
201209월,15014,"6,081","4,901","1,127",190,-138,"2,853"
201210월,16405,"6,348","5,470",606,549,-276,"3,708"
201211월,19498,"7,537","7,055",247,420,-185,"4,424"
201212월,6497,"2,345","1,790",281,724,-449,"1,806"
201301월,6528,"3,076","3,953","-1,557","1,170",-490,376
201302월,6818,"2,473","3,256","-1,145",623,-262,"1,873"
201303월,17469,"7,066","7,089",34,20,-76,"3,336"
201304월,13180,"5,335","5,511",496,-482,-190,"2,510"
201305월,25690,"9,886","9,363",-29,722,-170,"5,918"
201306월,20225,"7,126","5,712",180,"1,421",-186,"5,972"
201307월,17091,"7,323","7,462",-879,"1,033",-293,"2,445"
201308월,18210,"6,746","7,271",-869,666,-322,"4,718"
201309월,19959,"8,182","8,572",-330,648,-708,"3,595"
201310월,27095,"11,109","9,768",406,"1,336",-400,"4,876"
201311월,17259,"6,230","8,025","-2,089",675,-381,"4,799"
201312월,16824,"6,597","6,799",-718,"1,226",-710,"3,630"
201401월,4554,"1,870","3,848","-1,727",85,-336,814
201402월,10782,"4,966","6,104",-530,-444,-164,850
201403월,16134,"6,314","7,644",-632,-378,-320,"3,506"
201404월,18456,"7,031","10,068",-226,"-1,913",-898,"4,394"
201405월,23344,"9,187","8,787",160,629,-389,"4,970"
201406월,21132,"7,890","6,321",118,"1,839",-387,"5,351"
201407월,14534,"6,097","5,677",343,466,-390,"2,341"
201408월,17251,"6,967","7,041",-392,836,-518,"3,317"
201409월,18465,"7,601","8,259",-411,97,-343,"3,262"
201410월,25017,"8,742","7,984",164,856,-262,"7,533"
201411월,26773,"10,755","9,593",94,"1,184",-115,"5,262"
201412월,19459,"6,954","7,560",-638,893,-861,"5,551"
201501월,19894,"7,036","6,861","-1,914","2,712",-623,"5,822"
201502월,20086,"6,306","7,062","-1,658","1,130",-228,"7,474"
201503월,28098,"9,881","10,593",-539,225,-399,"8,337"
201504월,22872,"7,255","11,850",-862,"-3,237",-497,"8,363"
201505월,22560,"8,136","8,868",-18,-270,-444,"6,288"
201506월,33079,"11,561","12,949","-2,156","1,028",-259,"9,956"
201507월,25700,"9,326","10,304","-1,503",713,-189,"7,049"
201508월,20752,"8,208","8,849",-982,461,-119,"4,335"
201509월,30318,"10,713","12,166","-1,251",342,-544,"8,892"
201510월,25741,"9,576","10,972","-1,491",533,-438,"6,589"
201511월,29919,"9,842","10,635","-1,219",612,-186,"10,235"
201512월,23123,"8,102","11,160","-1,322",-676,"-1,059","6,918"
201601월,19554,"7,183","8,186","-1,837","1,232",-398,"5,188"
201602월,22965,"7,984","8,256","-1,165",871,21,"6,998"
201603월,32496,"11,358","13,520",-874,-754,-534,"9,780"
201604월,17371,"4,262","10,109","-1,731","-3,593",-523,"8,847"
201605월,28021,"10,516","10,466","-1,161","1,358",-147,"6,989"
201606월,35909,"12,262","12,600","-1,313","1,518",-543,"11,385"
201607월,25255,"8,829","10,650","-1,461",266,-626,"7,597"
201608월,16443,"5,666","7,059","-1,476","1,034",-951,"5,111"
201609월,23238,"8,069","10,475","-2,612","1,025",-819,"7,100"
201610월,22347,"7,695","9,165","-1,786",707,-391,"6,957"
201611월,24254,"8,028","9,690","-1,814",366,-215,"8,199"
201612월,20698,"6,955","8,473",-726,-211,-582,"6,789"
201701월,13212,"5,300","7,731","-3,341","1,177",-267,"2,612"
201702월,23327,"8,182","10,220","-2,210",719,-547,"6,963"
201703월,17501,"5,722","9,356","-3,112",-521,-2,"6,058"
201704월,20224,"3,670","11,542","-2,417","-4,924",-531,"12,884"
201705월,17322,"5,842","8,596","-1,639",-596,-520,"5,639"
201706월,24600,"6,940","9,423","-2,693",643,-434,"10,721"
201707월,24723,"7,250","10,587","-3,285",676,-728,"10,223"
201708월,18621,"6,033","9,184","-2,335",23,-840,"6,556"
201709월,37994,"12,288","14,979","-2,878","1,248","-1,062","13,419"
201710월,18366,"5,716","8,597","-3,531","1,168",-519,"6,935"
